Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0603_1608Metric",88.900006,-86.250015,180.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-69.250006,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-69.250006,180.000000,top
"D1","LED","LED_0603_1608Metric",41.899997,-86.250015,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-52.249997,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-120.250033,180.000000,top
"D1","LED","LED_0603_1608Metric",88.900006,-103.250024,180.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-122.930033,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-122.930033,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-88.930015,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-88.930015,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-54.929997,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-105.930024,270.000000,top
"D2","LED","LED_0603_1608Metric",89.816006,-71.930006,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-105.930024,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-54.929997,270.000000,top
"D2","LED","LED_0603_1608Metric",42.815997,-71.930006,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-122.930033,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-54.929997,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-71.930006,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-88.930015,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-88.930015,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-71.930006,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-105.930024,270.000000,top
"D3","LED","LED_0603_1608Metric",41.037997,-122.930033,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-105.930024,270.000000,top
"D3","LED","LED_0603_1608Metric",88.038006,-54.929997,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-52.949997,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-103.950024,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-120.950033,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-69.950006,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-52.949997,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-69.950006,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-86.950015,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",76.700006,-86.950015,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-103.950024,270.000000,top
"J8","USB_B_Micro","USB_Micro-B_Molex-105133-0001",29.699997,-120.950033,270.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-84.350015,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-67.350006,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-50.349997,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-84.350015,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-101.350024,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-50.349997,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-118.350033,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-67.350006,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",97.515006,-118.350033,180.000000,top
"R3","10 kΩ","R_0402_1005Metric",50.514997,-101.350024,180.000000,top
"R4","10 kΩ","R_0402_1005Metric",50.514997,-51.649997,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",97.515006,-68.650006,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",50.514997,-85.650015,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",97.515006,-119.650033,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",97.515006,-51.649997,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",50.514997,-119.650033,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",50.514997,-102.650024,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",97.515006,-85.650015,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",50.514997,-68.650006,0.000000,top
"R4","10 kΩ","R_0402_1005Metric",97.515006,-102.650024,0.000000,top
"R7","10 kΩ","R_0402_1005Metric",88.100006,-117.750033,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",88.100006,-100.750024,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",41.099997,-117.750033,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",41.099997,-100.750024,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",41.099997,-49.749997,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",88.100006,-49.749997,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",88.100006,-66.750006,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",41.099997,-83.750015,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",41.099997,-66.750006,90.000000,top
"R7","10 kΩ","R_0402_1005Metric",88.100006,-83.750015,90.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",92.000006,-119.750033,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",92.000006,-68.750006,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",92.000006,-51.749997,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",44.999997,-51.749997,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",44.999997,-85.750015,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",44.999997,-102.750024,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",44.999997,-68.750006,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",44.999997,-119.750033,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",92.000006,-85.750015,0.000000,top
"R8","3.3 kΩ","R_0402_1005Metric",92.000006,-102.750024,0.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",86.300006,-90.015015,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",86.300006,-73.015006,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",86.300006,-107.015024,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",39.299997,-124.015033,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",39.299997,-107.015024,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",39.299997,-56.014997,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",86.300006,-56.014997,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",86.300006,-124.015033,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",39.299997,-73.015006,270.000000,top
"R9","3.3 kΩ","R_0402_1005Metric",39.299997,-90.015015,270.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",89.750006,-83.781015,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",42.749997,-66.781006,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",89.750006,-66.781006,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",42.749997,-117.781033,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",89.750006,-100.781024,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",42.749997,-83.781015,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",89.750006,-117.781033,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",42.749997,-49.780997,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",89.750006,-49.780997,90.000000,top
"R10","3.3 kΩ","R_0402_1005Metric",42.749997,-100.781024,90.000000,top
"REF**","Fiducial","Fiducial",124.989005,-44.998997,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",98.000006,-53.699997,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",116.900006,-49.899997,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",81.200006,-48.699997,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",34.199997,-48.699997,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",69.899997,-49.899997,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",50.999997,-70.700006,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",69.899997,-66.900006,0.000000,top
